Box,Title,Therapist Skill Level,Category,Recommended Knowledge Base and Competencies
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Know how to form and sustain a positive therapy alliance
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,"Communication skills: can communicate ideas clearly; can listen well and understand client communications; verbal and nonverbal expressions are congruent"
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,"Understand the role of collaboration in CBT and how to collaborate to accomplish common tasks (e.g., agenda setting)"
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,"Recognize the importance of therapy structure, including knowledge of how to negotiate tasks within the therapy hour (e.g., time spent on various topics)"
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Understand how to use functional analysis and/or the five-part model
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,"Have basic familiarity with explanatory conceptualizations for common disorders such as depression, specific anxiety disorders, and other common presenting issues in the clinician's practice"
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,"Know methods to identify and rate emotions, thoughts, and physiological phenomena"
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Understand how to engage clients in behavioral observation
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Know the four stages of Socratic dialogue
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Have knowledge of cultural variations
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Know basics of how to set up and debrief behavioral experiments
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,"Know how to use Thought Records, prediction logs, and other written methods to observe and test beliefs"
8.1,Collaborative Empiricism in Case Conceptualization,Novice,,Understand how to use relevant questions to gather the information necessary to form a case conceptualization
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,"Know how to adapt therapist language and metaphor to educational level, culture, and personal interests of client"
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Recognize client experiences that fit with and contradict particular conceptual models
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,"Can engage clients so they actively search for links between different aspects of their experience (e.g., thoughts and feelings) outside of therapy sessions and report these to the therapist verbally and/or in writing"
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,"Has clear understanding of cognitive conceptualizations for depression, anxiety disorders, and other problems common to the clinician's practice"
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Aware of features that differentiate between similar presenting issues
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Is able to incorporate cultural factors into conceptualizations
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Can use Socratic dialogue to effectively test beliefs
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Can maintain objectivity and genuine curiosity about client experience; can flexibly adapt conceptualization to client feedback
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Can present evidence-based models to client that fit with client-reported experiences
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Can construct individualized conceptualizations that incorporate relevant evidence-based models
8.1,Collaborative Empiricism in Case Conceptualization,Intermediate,,Can make predictions and employ behavioral experiments to evaluate case conceptualization
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,Can navigate conflict and collaboratively work through therapy impasses
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,"Is able to attain and maintain collaboration with most clients, including those who have great difficulty collaborating in relationships"
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,Can create natural conversational bridges between client observations and empirically derived models
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,Is alert to subtleties in similarities and differences between client reports of experience and empirically supported models
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,Can use and/or seek data from client to reconcile differences between empirically supported models and client's personal experience
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,Is able to weave empirical methods seamlessly into the fabric of therapy
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,"Can readily use case conceptualization to navigate therapy impasses, evaluate treatment options, and plan for relapse management"
8.1,Collaborative Empiricism in Case Conceptualization,Advanced,,Is able to reflect on and identify personal biases that interfere with empirical processes
8.2,Levels of Conceptualization,Novice,Descriptive level,"Can differentiate thoughts, moods, physical reactions, behaviors, and situational aspects of client experience"
8.2,Levels of Conceptualization,Novice,Descriptive level,Understands purposes and rationale for presenting issues list
8.2,Levels of Conceptualization,Novice,Descriptive level,Understands principles and processes of functional analysis
8.2,Levels of Conceptualization,Novice,Descriptive level,Understands principles and processes of five-part model
8.2,Levels of Conceptualization,Novice,Descriptive level,"Familiar with one or two evidence-based conceptualization models (e.g., panic disorder, OCD)"
8.2,Levels of Conceptualization,Novice,Descriptive level,Understands goal-setting processes
8.2,Levels of Conceptualization,Novice,Explanatory level,"Can identify automatic thoughts, underlying assumptions, and core beliefs"
8.2,Levels of Conceptualization,Novice,Explanatory level,Understands generic cognitive model (see Chapter 1)
8.2,Levels of Conceptualization,Novice,Explanatory level,Can identify triggers and maintenance factors
8.2,Levels of Conceptualization,Novice,Explanatory level,Recognizes safety behaviors
8.2,Levels of Conceptualization,Novice,Explanatory level,"Knows research regarding etiology, maintenance, and treatment for one or two common diagnoses"
8.2,Levels of Conceptualization,Novice,Predisposing and protective factors,"Knows CBT theory of personality development (Beck et al., 2004)"
8.2,Levels of Conceptualization,Novice,Predisposing and protective factors,Knows at least one model for understanding resilience
8.2,Levels of Conceptualization,Novice,Predisposing and protective factors,"Understands rationale for linking developmental history, presenting issues, and relapse management"
8.2,Levels of Conceptualization,Intermediate,Descriptive level,Familiar with evidence-based diagnostic models for all common disorders in one's practice
8.2,Levels of Conceptualization,Intermediate,Explanatory level,"Actively follows research regarding etiology, maintenance, and treatment for many common disorders in one's practice"
8.2,Levels of Conceptualization,Intermediate,Explanatory level,Recognizes recurring themes across situational client examples
8.2,Levels of Conceptualization,Intermediate,Explanatory level,Possesses knowledge of a wide repertoire of CBT interventions and understands how to select these based on the conceptualization
8.2,Levels of Conceptualization,Intermediate,Explanatory level,Familiar with expected treatment length and outcomes based on knowledge of relevant research with various clinical populations
8.2,Levels of Conceptualization,Intermediate,Predisposing and protective factors,Aware of personality types as well as common underlying assumptions and core beliefs associated with each
8.2,Levels of Conceptualization,Intermediate,Predisposing and protective factors,"Understands how to elicit metaphors, stories, and imagery from client that are linked to key themes and presenting issues"
8.2,Levels of Conceptualization,Intermediate,Predisposing and protective factors,Understands how to formulate a longitudinal conceptualization for both presenting issues and also for client resilience
8.2,Levels of Conceptualization,Intermediate,Predisposing and protective factors,Able to identify possible risk factors for future relapse based on client longitudinal conceptualization
8.2,Levels of Conceptualization,Advanced,Descriptive level,"Recognizes recurring themes in evidence-based models (e.g., rumination) and can identify themes that link client presenting issues"
8.2,Levels of Conceptualization,Advanced,Descriptive level,Able to provide clinical rationale for when to use each level of conceptualization with a particular client
8.2,Levels of Conceptualization,Advanced,Descriptive level,Understands the rationale and methods for incorporating resilience at each level of conceptualization
8.2,Levels of Conceptualization,Advanced,Explanatory level,Regularly updates knowledge to integrate research findings from various CBT approaches and across many disorders
8.2,Levels of Conceptualization,Advanced,Explanatory level,Recognizes triggers and maintenance factors that are common to multiple client presenting issues
8.2,Levels of Conceptualization,Advanced,Explanatory level,Knows how to modify CBT interventions to match peculiarities of a client conceptualization or to adapt to treatment barriers
8.2,Levels of Conceptualization,Advanced,Predisposing and protective factors,"Understands interview modifications that enhance CBT with various personality disorders (Beck et al., 2004)"
8.2,Levels of Conceptualization,Advanced,Predisposing and protective factors,Knows how to integrate predisposing and protective factors within a longitudinal conceptualization
8.3,Incorporating Client Strengths,Novice,,Understands relevance of client strengths for case conceptualization
8.3,Incorporating Client Strengths,Novice,,Knows questions for eliciting client strengths (cf. Chapter 4)
8.3,Incorporating Client Strengths,Novice,,Can employ guided discovery methods to help clients identify strengths
8.3,Incorporating Client Strengths,Novice,,Able to observe unspoken strengths at least some of the time
8.3,Incorporating Client Strengths,Novice,,Knows positive psychology literature and understands empirical bases of a strengths focus
8.3,Incorporating Client Strengths,Intermediate,,Knows the resilience literature (see Chapter 4) and is familiar with diverse areas of strengths
8.3,Incorporating Client Strengths,Intermediate,,Understands how to incorporate strengths into conceptual models
8.3,Incorporating Client Strengths,Intermediate,,Able to observe unspoken strengths
8.3,Incorporating Client Strengths,Advanced,,Able to integrate strengths and difficulties seamlessly throughout each level of case conceptualization
8.3,Incorporating Client Strengths,Advanced,,Recognizes pathways to change within identified strengths
8.3,Incorporating Client Strengths,Advanced,,Observes and infers unspoken strengths and can facilitate client awareness of these throughout each stage of therapy
8.3,Incorporating Client Strengths,Advanced,,Integrates both strengths and resilience into treatment plans
